"","french guiana","3.26","3.37","3.48","3.46","3.25","3.01"
"","grenada","3.73","3.27","2.6","2","1.83","1.72"
"","guadeloupe","2.91","2.22","2.09","2.06","2.01","1.93"
"","guatemala","4.74","4.39","3.83","3.17","2.55","2.24"
"","guyana","3.22","2.58","2.26","2.16","2.02","1.91"
"","haiti","4.14","3.85","3.32","2.82","2.41","2.16"
"","honduras","4.76","4.17","3.54","2.81","2.22","1.96"
"","jamaica","3.43","2.69","2.27","2.01","1.81","1.71"
"","martinique","2.5","1.96","1.88","1.9","1.84","1.76"
"","mexico","4.04","3.09","2.43","2.08","1.88","1.74"
"","nicaragua","4.5","3.75","2.91","2.34","2.08","1.93"
"","panama","3.32","2.75","2.38","2.22","2.12","2"
"","paraguay","4.11","3.66","3.07","2.45","2.08","1.92"
"","peru","3.91","3.2","2.64","2.29","2.05","1.89"
"","puerto rico","2.25","1.98","1.7","1.52","1.24","1.1"
"","saint lucia","3.98","3.28","2.36","1.5","1.25","1.2"
"","saint vincent and the grenadines","3.74","2.73","2.22","1.81","1.63","1.54"
"","suriname","3.53","2.77","2.54","2.41","2.16","2.01"
"","trinidad and tobago","2.75","2.32","1.73","1.56","1.53","1.49"
"","united states virgin islands","3.37","2.72","2.27","2.2","2.2","2.02"
"","uruguay","2.31","2.18","2","1.83","1.73","1.7"
"","venezuela (bolivarian republic of)","3.57","2.9","2.41","2.08","1.87","1.74"
"northern africa and western asia","","4.6 (2.1)","3.8 (1.7)","2.91 (1.4)","2.34 (1)","2.18 (0.8)","1.95 (0.6)"
"","algeria","5.36","4.29","2.91","2.6","2.63","2.41"
"","armenia","2.15","2.01","1.76","1.64","1.73","1.77"
"","azerbaijan","2.9","2.4","2.03","1.67","1.7","1.68"
"","bahrain","4.56","3.68","2.71","2.15","1.86","1.71"
"","cyprus","2.15","2.28","2.05","1.5","1.32","1.29"
"","egypt","4.12","3.8","3.23","2.91","2.89","2.71"
"","georgia","1.83","1.86","1.59","1.57","1.84","1.87"
"","iraq","5.88","5.03","4.1","3.51","3.21","2.82"
"","israel","3.13","3.06","2.97","2.97","2.97","2.82"
"","jordan","6.06","5.02","3.95","3.33","2.68","2.26"
"","kuwait","5.14","3.66","2.54","2.29","2.05","1.95"
"","lebanon","3.56","3.01","2.51","2.03","1.95","1.88"
"","libya","6.63","4.77","2.96","2.26","2","1.83"
"","morocco","4.6","3.62","2.68","2.34","2.2","2.04"
"","oman","6.01","5.74","4.11","3.08","2.64","2.3"
"","qatar","5.43","4.38","3.42","2.29","1.73","1.58"
"","saudi arabia","5.62","5.18","4.01","2.96","2.24","1.93"
"","state of palestine","6.06","5.52","5.02","4.21","3.43","2.92"
"","sudan","5.15","4.61","4.07","4.1","3.96","3.6"
"","syrian arab republic","5.96","4.71","3.71","3.2","2.66","2.34"
"","tunisia","4.27","3.32","2.42","2.05","2.01","1.91"
"","turkey","3.4","2.81","2.35","2.2","2.07","1.95"
"","united arab emirates","5.06","4.21","2.66","2","1.8","1.52"
"","western sahara","4.21","3.63","2.89","2.41","2.18","1.99"
"","yemen","4.22","5.6","5.41","4.21","3.27","2.72"
"oceania (excluding australia and new zealand)","","4.39 (1.5)","4.01 (1.3)","3.7 (1.2)","3.41 (1.1)","3.07 (0.9)","2.81 (0.8)"
"","fiji","3.25","3.01","2.87","2.59","2.48","2.36"
"","french polynesia","3.72","3.19","2.62","2.08","1.84","1.72"
"","guam","3.13","2.75","2.69","2.5","2.28","2.13"
"","kiribati","4.02","3.77","3.51","3.41","3.2","2.98"
"","micronesia (fed states of)","5.27","4.45","3.77","3.31","2.86","2.56"
"","new caledonia","3.41","2.97","2.57","2.23","1.99","1.84"
"","papua new guinea","4.39","4.01","3.7","3.42","3.07","2.81"
"","samoa","5.52","4.58","4.09","4.06","3.63","3.29"
"","solomon islands","5.21","5.08","4.44","3.94","3.66","3.41"
"","tonga","4.84","4.43","3.91","3.56","3.21","2.96"
"","vanuatu","4.73","4.39","4.06","3.74","3.39","3.15"
"sub-saharan africa","","4.45 (1)","4.36 (0.6)","4.26 (0.6)","3.97 (0.7)","3.6 (0.8)","3.17 (0.8)"
"","angola","4.56","4.76","4.77","4.71","4.57","4.22"
"","benin","4.45","4.54","4.32","4.09","3.84","3.55"
"","botswana","4.45","3.6","2.9","2.6","2.44","2.27"
"","burkina faso","3.93","4.57","4.56","4.45","4.24","3.87"
"","burundi","5.14","5.26","5.18","4.97","4.54","4.04"
"","cabo verde","4.93","4.2","3.2","2.38","1.99","1.8"
"","cameroon","4.45","4.52","4.26","4.08","3.8","3.47"
"","central african republic","3.72","3.96","3.91","3.73","3.52","3.18"
"","chad","4.32","4.75","5.04","4.91","4.44","3.91"
"","comoros","5.12","4.92","4.29","3.85","3.44","3.11"
"","congo","4.54","4.1","3.86","3.78","3.68","3.42"
"","côte d'ivoire","4.34","4.9","4.35","3.98","3.7","3.42"
"","democratic republic of the congo","4.62","4.65","4.75","4.73","4.5","4.02"
"","djibouti","4.84","4.48","3.78","2.89","2.36","2.08"
"","equatorial guinea","3.4","4.05","4.07","3.81","3.44","3.06"
"","eritrea","4.3","4.46","4.29","3.96","3.53","3.14"
"","eswatini","4.76","4.21","3.32","2.62","2.35","2.22"
"","ethiopia","4.47","4.8","4.76","4.32","3.61","3.04"
"","gabon","3.99","4.24","3.96","3.6","3.38","3.11"
"","gambia","3.59","4.38","4.8","4.72","4.46","4"
"","ghana","4.7","4.29","3.83","3.53","3.26","3"
"","guinea","3.58","4.06","4.3","4.18","3.83","3.42"
"","guinea-bissau","4.16","4.45","4.27","3.98","3.66","3.27"
"","kenya","5.62","4.84","4.13","3.56","3.03","2.62"
"","lesotho","4.08","3.58","2.98","2.54","2.35","2.27"
"","liberia","4.09","4.21","3.96","3.85","3.55","3.13"
"","madagascar","4.67","4.45","4.09","3.84","3.48","3.17"
"","malawi","3.77","4.17","4.33","4.11","3.56","3.06"
"","mali","2.8","3.58","4.46","4.76","4.53","4.06"
"","mauritania","4.93","4.6","4.27","4.05","3.78","3.51"
"","mauritius","2.47","2.02","1.84","1.58","1.36","1.3"
"","mayotte","6.65","5.82","4.66","3.93","3.36","2.92"
"","mozambique","3.74","3.82","4.04","4.17","3.98","3.61"
"","namibia","4.76","4.05","3.3","2.95","2.84","2.66"
"","niger","3.96","4.34","4.85","5.51","5.55","5.1"
"","nigeria","3.97","4.29","4.31","4.27","4.15","3.82"
"","réunion","2.8","2.41","2.27","2.13","2","1.88"
"","rwanda","4.87","4.23","3.91","3.94","3.58","3.11"
"","sao tome and principe","5.04","4.82","4.47","4.19","3.88","3.51"
"","senegal","4.81","4.86","4.5","4.3","4.09","3.71"
"","seychelles","3.64","2.59","2.06","1.98","2.03","1.99"
"","sierra leone","2.68","3.43","3.7","3.58","3.25","2.83"
"","somalia","4.27","4.84","4.82","4.7","4.5","4.13"
"","south africa","3.65","3.1","2.43","2.07","1.97","1.88"
"","south sudan","3.29","3.96","4.21","4.04","3.72","3.33"
"","togo","4.79","4.47","4.06","3.78","3.47","3.17"
"","uganda","4.84","4.88","5.04","4.86","4.18","3.45"
"","united republic of tanzania","4.64","4.48","4.37","4.29","4.07","3.73"
"","zambia","4.89","4.52","4.37","4.3","4","3.58"
"","zimbabwe","4.98","3.96","3.11","2.97","3.08","2.78"
