"region","area","1950_20","1950_45","1950_100","1975_20","1975_45","1975_100","1999_20","1999_45","1999_100"
"","china, hong kong sar","0.01","0.06","0.45","<0.01","0.01","0.12","<0.01","<0.01","0.09"
"","china, macao sar","0.01","0.05","0.26","<0.01","0.01","0.11","<0.01","0.01","0.09"
"","china, taiwan province of china","0.03","0.11","0.85","<0.01","0.02","0.3","<0.01","0.01","0.14"
"","dem people's republic of korea","0.03","0.19","1.29","0.01","0.13","0.71","<0.01","0.04","0.43"
"","indonesia","0.21","0.76","2.4","0.04","0.16","0.93","0.01","0.06","0.59"
"","japan","0.01","0.04","0.37","<0.01","0.01","0.15","<0.01","<0.01","0.09"
"","lao people's democratic republic","0.24","1.41","3.45","0.14","0.48","1.84","0.03","0.11","0.89"
"","malaysia","0.05","0.21","1.6","0.01","0.04","0.69","<0.01","0.02","0.33"
"","mongolia","0.14","0.97","2.95","0.05","0.17","1.11","0.01","0.06","0.79"
"","myanmar","0.17","0.94","2.96","0.05","0.26","1.28","0.02","0.1","0.77"
"","philippines","0.07","0.49","2.37","0.03","0.18","1.39","0.01","0.08","0.72"
"","republic of korea","0.04","0.18","0.7","<0.01","0.02","0.2","<0.01","<0.01","0.07"
"","singapore","0.01","0.06","0.49","<0.01","0.01","0.17","<0.01","<0.01","0.09"
"","thailand","0.08","0.34","1.33","0.01","0.06","0.47","<0.01","0.02","0.28"
"","timor-leste","0.25","1.89","3.32","0.14","0.59","2.23","0.03","0.15","1.07"
"","viet nam","0.05","0.41","1.75","0.02","0.1","0.7","0.01","0.06","0.53"
"europe and northern america","","0.01 (0)","0.07 (0)","0.59 (0.4)","0 (0)","0.02 (0)","0.28 (0.3)","0 (0)","0.01 (0)","0.16 (0.2)"
"","albania","0.08","0.3","1.24","0.02","0.07","0.51","<0.01","0.02","0.25"
"","austria","0.02","0.06","0.48","<0.01","0.01","0.23","<0.01","0.01","0.13"
"","belarus","0.01","0.08","0.9","0.01","0.03","0.56","<0.01","0.01","0.42"
"","belgium","0.01","0.05","0.47","<0.01","0.02","0.26","<0.01","0.01","0.14"
"","bosnia and herzegovina","0.05","0.15","0.9","0.01","0.03","0.42","<0.01","0.01","0.2"
"","bulgaria","0.03","0.08","0.95","0.01","0.04","0.54","<0.01","0.02","0.38"
"","canada","0.01","0.05","0.45","<0.01","0.02","0.22","<0.01","0.01","0.11"
"","channel islands","0.01","0.05","0.35","<0.01","0.02","0.19","<0.01","0.01","0.12"
"","croatia","0.02","0.07","0.64","<0.01","0.02","0.36","<0.01","0.01","0.18"
"","czechia","0.02","0.06","0.7","<0.01","0.02","0.36","<0.01","0.01","0.21"
"","denmark","0.01","0.04","0.53","<0.01","0.01","0.29","<0.01","0.01","0.16"
"","estonia","0.01","0.08","0.69","0.01","0.03","0.43","<0.01","0.01","0.25"
"","finland","0.01","0.03","0.41","<0.01","0.01","0.25","<0.01","<0.01","0.12"
"","france","0.01","0.05","0.5","<0.01","0.02","0.26","<0.01","0.01","0.16"
"","germany","0.01","0.05","0.45","<0.01","0.01","0.22","<0.01","0.01","0.14"
"","greece","0.02","0.07","0.53","<0.01","0.01","0.21","<0.01","0.01","0.11"
"","hungary","0.03","0.08","0.81","0.01","0.02","0.46","<0.01","0.01","0.27"
"","iceland","0.01","0.05","0.57","<0.01","0.01","0.25","<0.01","<0.01","0.1"
"","ireland","0.01","0.07","0.6","<0.01","0.02","0.21","<0.01","0.01","0.1"
"","italy","0.02","0.06","0.4","<0.01","0.01","0.13","<0.01","<0.01","0.07"
"","latvia","0.01","0.08","0.81","0.01","0.04","0.54","<0.01","0.01","0.41"
"","lithuania","0.01","0.08","0.85","0.01","0.03","0.56","<0.01","0.01","0.39"
"","luxembourg","0.01","0.05","0.4","<0.01","0.01","0.21","<0.01","0.01","0.09"
"","malta","0.01","0.05","0.4","<0.01","0.02","0.23","<0.01","0.01","0.13"
"","montenegro","0.03","0.11","0.92","0.01","0.03","0.51","<0.01","0.01","0.29"
"","netherlands","0.01","0.04","0.43","<0.01","0.01","0.2","<0.01","0.01","0.12"
"","north macedonia","0.06","0.2","1.09","0.02","0.04","0.6","<0.01","0.02","0.28"
"","norway","0.01","0.04","0.47","<0.01","0.01","0.25","<0.01","0.01","0.12"
"","poland","0.02","0.09","0.75","0.01","0.03","0.41","<0.01","0.01","0.24"
"","portugal","0.04","0.13","0.56","<0.01","0.01","0.21","<0.01","<0.01","0.1"
"","republic of moldova","0.03","0.15","1.22","0.02","0.06","0.79","<0.01","0.02","0.43"
"","romania","0.04","0.14","1.02","0.01","0.04","0.48","<0.01","0.02","0.34"
"","russian federation","0.02","0.1","0.96","0.01","0.05","0.63","<0.01","0.02","0.53"
"","serbia","0.05","0.14","0.99","0.01","0.04","0.56","<0.01","0.01","0.26"
"","slovakia","0.02","0.08","0.88","0.01","0.03","0.45","<0.01","0.01","0.25"
"","slovenia","0.01","0.05","0.54","<0.01","0.01","0.25","<0.01","0.01","0.14"
"","spain","0.01","0.06","0.45","<0.01","0.01","0.13","<0.01","<0.01","0.08"
"","sweden","0.01","0.03","0.4","<0.01","0.01","0.21","<0.01","0.01","0.11"
"","switzerland","0.01","0.04","0.34","<0.01","0.01","0.15","<0.01","0.01","0.08"
"","ukraine","0.02","0.08","0.99","0.01","0.04","0.64","<0.01","0.02","0.46"
"","united kingdom","0.01","0.05","0.53","<0.01","0.02","0.28","<0.01","0.01","0.17"
"","united states of america","0.02","0.06","0.64","<0.01","0.03","0.48","<0.01","0.02","0.31"
"latin america and the caribbean","","0.08 (0.1)","0.3 (0.3)","1.66 (1.1)","0.02 (0)","0.08 (0.1)","0.7 (0.5)","0.01 (0)","0.04 (0)","0.43 (0.2)"
"","antigua and barbuda","0.05","0.15","1.07","0.01","0.05","0.59","<0.01","0.02","0.4"
"","argentina","0.04","0.18","1.11","0.02","0.07","0.68","0.01","0.03","0.41"
"","aruba","0.03","0.1","0.94","0.01","0.05","0.52","<0.01","0.04","0.38"
"","bahamas","0.02","0.14","1.34","0.01","0.06","0.8","<0.01","0.02","0.45"
"","barbados","0.04","0.12","0.78","0.01","0.04","0.4","<0.01","0.03","0.29"
"","belize","0.14","0.49","2.49","0.04","0.14","1.2","0.01","0.05","0.55"
"","bolivia (plurinational state of)","0.26","1.39","2.8","0.11","0.44","1.45","0.03","0.13","0.71"
"","brazil","0.11","0.46","1.55","0.03","0.11","0.67","0.01","0.03","0.35"
"","chile","0.08","0.22","0.91","0.01","0.04","0.42","<0.01","0.01","0.21"
"","colombia","0.1","0.37","1.42","0.02","0.09","0.65","0.01","0.04","0.34"
"","costa rica","0.08","0.23","1.05","0.01","0.05","0.5","<0.01","0.02","0.25"
"","cuba","0.06","0.13","0.92","0.01","0.03","0.41","<0.01","0.01","0.29"
"","curaçao","0.03","0.11","0.84","0.01","0.05","0.5","<0.01","0.02","0.28"
"","dominican republic","0.19","0.6","2.08","0.05","0.16","0.99","0.02","0.08","0.61"
"","ecuador","0.16","0.63","1.81","0.04","0.14","0.75","0.01","0.05","0.42"
"","el salvador","0.21","0.86","2.31","0.04","0.15","0.94","0.01","0.05","0.48"
"","french guiana","0.07","0.24","1.09","0.02","0.08","0.71","0.01","0.03","0.38"
"","grenada","0.06","0.26","1.95","0.01","0.07","0.99","0.01","0.04","0.57"
"","guadeloupe","0.04","0.17","0.88","0.01","0.03","0.37","<0.01","0.01","0.23"
"","guatemala","0.24","1.05","2.66","0.08","0.28","1.29","0.02","0.08","0.56"
"","guyana","0.09","0.42","2.23","0.04","0.2","1.31","0.02","0.11","0.94"
"","haiti","0.18","1.28","3.18","0.1","0.56","1.94","0.04","0.23","1.08"
"","honduras","0.25","0.97","2.58","0.06","0.23","1.21","0.01","0.06","0.52"
"","jamaica","0.08","0.24","1.78","0.02","0.08","0.88","0.01","0.04","0.51"
"","martinique","0.04","0.14","0.7","0.01","0.03","0.3","<0.01","0.01","0.17"
"","mexico","0.13","0.47","2.02","0.03","0.1","0.82","0.01","0.04","0.47"
"","nicaragua","0.25","0.99","2.67","0.06","0.17","1","0.01","0.06","0.51"
"","panama","0.09","0.31","1.4","0.02","0.11","0.69","0.01","0.06","0.45"
"","paraguay","0.08","0.42","2.05","0.03","0.16","1.16","0.01","0.06","0.61"
"","peru","0.2","0.8","1.96","0.04","0.14","0.7","0.01","0.04","0.36"
"","puerto rico","0.03","0.1","0.82","0.01","0.04","0.44","<0.01","0.01","0.21"
"","saint lucia","0.11","0.31","1.82","0.02","0.06","0.7","0.01","0.03","0.31"
"","saint vincent and the grenadines","0.14","0.4","2.24","0.02","0.08","0.93","0.01","0.04","0.55"
"","suriname","0.1","0.37","2.3","0.04","0.14","1.26","0.01","0.05","0.73"
"","trinidad and tobago","0.05","0.21","1.47","0.02","0.08","0.68","0.01","0.05","0.47"
"","united states virgin islands","0.06","0.16","1.15","0.01","0.04","0.45","<0.01","0.02","0.25"
"","uruguay","0.03","0.15","0.95","0.01","0.05","0.57","<0.01","0.02","0.36"
"","venezuela (bolivarian republic of)","0.08","0.29","1.94","0.02","0.1","1.03","0.02","0.08","0.67"
"northern africa and western asia","","0.16 (0.1)","0.7 (0.7)","2.4 (1)","0.02 (0)","0.11 (0.1)","0.74 (0.5)","0 (0)","0.03 (0)","0.38 (0.3)"
"","algeria","0.25","1.09","2.52","0.02","0.13","0.62","0.01","0.06","0.39"
"","armenia","0.06","0.19","1.18","0.04","0.09","0.74","<0.01","0.03","0.45"
"","azerbaijan","0.11","0.51","1.88","0.07","0.18","0.96","0.02","0.06","0.66"
"","bahrain","0.1","0.29","1.76","0.01","0.04","0.61","<0.01","0.02","0.32"
"","cyprus","0.02","0.07","0.59","<0.01","0.02","0.32","<0.01","0.01","0.13"
"","egypt","0.32","1.18","3.03","0.06","0.19","1.36","0.01","0.07","0.9"
"","georgia","0.04","0.14","1.07","0.03","0.08","0.7","0.01","0.03","0.54"
"","iraq","0.16","0.76","3.35","0.04","0.24","1.75","0.02","0.11","1.12"
"","israel","0.02","0.09","0.72","<0.01","0.03","0.37","<0.01","0.01","0.21"
"","jordan","0.12","0.55","2.71","0.02","0.13","1.19","0.01","0.04","0.53"
"","kuwait","0.11","0.32","2.4","0.01","0.05","0.72","<0.01","0.02","0.37"
"","lebanon","0.05","0.24","1.2","0.01","0.05","0.49","<0.01","0.02","0.26"
"","libya","0.22","0.82","3.4","0.01","0.09","0.78","<0.01","0.03","0.38"
"","morocco","0.23","0.98","2.16","0.03","0.14","0.55","0.01","0.04","0.3"
"","oman","0.22","0.99","2.5","0.03","0.11","0.85","<0.01","0.02","0.32"
"","qatar","0.09","0.34","1.94","0.01","0.05","0.68","<0.01","0.01","0.24"
"","saudi arabia","0.23","0.85","2.7","0.02","0.11","1.04","<0.01","0.02","0.35"
"","state of palestine","0.16","0.77","2.91","0.05","0.19","1.63","0.01","0.07","0.75"
"","sudan","0.21","1.38","4.03","0.12","0.65","2.52","0.04","0.29","1.65"
"","syrian arab republic","0.16","0.61","2.61","0.02","0.15","0.98","0.01","0.03","0.43"
"","tunisia","0.18","0.7","1.92","0.01","0.07","0.49","<0.01","0.02","0.28"
"","turkey","0.26","0.93","1.92","0.05","0.15","0.62","<0.01","0.03","0.28"
"","united arab emirates","0.16","0.41","1.99","0.01","0.04","0.58","<0.01","0.01","0.19"
"","western sahara","0.33","1.39","3.24","0.06","0.25","1.12","0.01","0.07","0.53"
"","yemen","0.46","2.06","4.74","0.15","0.62","3.09","0.04","0.19","1.42"
"oceania (excluding australia and new zealand)","","0.09 (0)","0.49 (0.3)","2.58 (0.8)","0.02 (0)","0.14 (0.1)","1.64 (0.8)","0.01 (0)","0.09 (0.1)","1.02 (0.6)"
"","fiji","0.06","0.28","2.34","0.02","0.14","1.64","0.01","0.09","1.09"
"","french polynesia","0.1","0.34","1.62","0.01","0.04","0.59","<0.01","0.01","0.3"
"","guam","0.06","0.21","1.07","0.02","0.06","0.56","<0.01","0.02","0.28"
"","kiribati","0.11","0.76","2.58","0.06","0.36","1.72","0.02","0.17","1.02"
"","micronesia (fed states of)","0.09","0.53","3.49","0.04","0.25","2.09","0.01","0.1","1.13"
"","new caledonia","0.09","0.3","1.41","0.01","0.07","0.57","<0.01","0.03","0.27"
"","papua new guinea","0.15","0.83","3.38","0.07","0.41","2.37","0.03","0.18","1.53"
"","samoa","0.09","0.49","2.69","0.02","0.13","1.41","0.01","0.06","0.81"
"","solomon islands","0.11","0.56","2.65","0.03","0.19","1.68","0.02","0.1","1.09"
"","tonga","0.04","0.25","2.48","0.01","0.11","1.6","0.01","0.06","1"
"","vanuatu","0.12","0.56","2.84","0.03","0.17","1.8","0.02","0.09","1.15"
"sub-saharan africa","","0.27 (0.2)","1.69 (1)","4.22 (0.9)","0.18 (0.1)","0.88 (0.6)","2.66 (1.1)","0.06 (0)","0.26 (0.2)","1.7 (0.8)"
"","angola","0.46","2.3","5.08","0.35","1.41","3.86","0.09","0.41","2.36"
"","benin","0.27","1.83","4.1","0.19","0.97","3.07","0.08","0.46","2.14"
"","botswana","0.16","0.7","3.08","0.05","0.29","1.57","0.02","0.11","0.99"
"","burkina faso","0.41","2.18","4.59","0.24","1.2","3.29","0.08","0.37","1.96"
"","burundi","0.24","1.97","4.64","0.18","1.14","3.41","0.05","0.34","1.86"
"","cabo verde","0.16","0.74","2.64","0.05","0.16","1.15","0.01","0.05","0.54"
"","cameroon","0.3","1.45","4.18","0.22","1.01","3.36","0.08","0.4","2.09"
"","central african republic","0.34","1.59","4.34","0.21","1.17","3.54","0.12","0.55","2.44"
"","chad","0.38","2.06","4.79","0.32","1.67","4.62","0.15","0.76","2.92"
"","comoros","0.24","1.44","4.03","0.1","0.6","2.61","0.05","0.27","1.7"
"","congo","0.17","0.96","3.59","0.1","0.56","2.51","0.04","0.22","1.79"
"","côte d'ivoire","0.38","1.74","5.09","0.18","0.96","3.45","0.08","0.42","2.33"
"","democratic republic of the congo","0.32","1.91","4.31","0.21","1.28","3.54","0.11","0.58","2.45"
"","djibouti","0.13","1.24","3.38","0.06","0.53","1.76","0.01","0.12","0.69"
"","equatorial guinea","0.36","1.73","3.97","0.23","0.96","3.23","0.1","0.39","2.11"
"","eritrea","0.24","1.67","3.85","0.13","0.53","2.27","0.03","0.14","1.24"
"","eswatini","0.26","1.05","4.3","0.08","0.51","2.27","0.04","0.16","1.41"
"","ethiopia","0.28","2.09","4.15","0.21","0.91","2.61","0.04","0.19","1.14"
"","gabon","0.27","1.02","3.16","0.11","0.49","2.33","0.04","0.2","1.44"
"","gambia","0.43","1.83","4.17","0.17","0.86","3.24","0.05","0.34","2.04"
"","ghana","0.23","1.29","3.87","0.1","0.57","2.37","0.03","0.21","1.46"
"","guinea","0.42","2.1","4.26","0.27","1.13","3.31","0.08","0.35","1.95"
"","guinea-bissau","0.31","2.03","4.66","0.23","1.07","3.36","0.07","0.36","2.01"
"","kenya","0.26","1.26","4.31","0.12","0.56","2.29","0.03","0.15","1.14"
"","lesotho","0.18","0.93","3.9","0.08","0.54","2.3","0.06","0.25","1.59"
"","liberia","0.41","2.12","4.37","0.3","1.02","2.87","0.07","0.28","1.68"
"","madagascar","0.31","1.71","3.98","0.17","0.63","2.27","0.04","0.17","1.27"
"","malawi","0.44","2.34","4.68","0.25","0.95","2.71","0.06","0.19","1.28"
"","mali","0.54","2.69","4.88","0.35","1.53","3.96","0.13","0.57","2.65"
"","mauritania","0.22","1.26","3.71","0.1","0.66","2.59","0.05","0.33","1.78"
"","mauritius","0.07","0.22","1.27","0.01","0.05","0.63","<0.01","0.02","0.31"
"","mayotte","0.13","0.44","2.18","0.01","0.06","0.89","<0.01","0.02","0.45"
"","mozambique","0.33","2.05","4.35","0.29","1.03","3.06","0.08","0.29","1.85"
"","namibia","0.16","0.86","3.64","0.06","0.34","1.88","0.03","0.14","1.28"
"","niger","0.51","2.96","5.23","0.44","1.69","4.08","0.12","0.51","2.68"
"","nigeria","0.34","1.95","4.66","0.24","1.37","3.83","0.1","0.61","2.68"
"","réunion","0.06","0.2","0.95","0.01","0.03","0.45","<0.01","0.01","0.27"
"","rwanda","0.25","2.75","4.8","0.31","0.91","2.14","0.02","0.12","0.9"
"","sao tome and principe","0.18","0.92","3.3","0.12","0.46","2.07","0.03","0.13","1.14"
"","senegal","0.41","1.88","4.07","0.14","0.67","2.29","0.03","0.17","1.26"
"","seychelles","0.1","0.29","2.05","0.01","0.06","0.8","0.01","0.04","0.6"
"","sierra leone","0.49","2.56","4.99","0.33","1.46","3.63","0.1","0.45","2.07"
"","somalia","0.22","2.1","4.62","0.22","1.34","3.86","0.12","0.71","2.97"
"","south africa","0.14","0.64","2.92","0.04","0.24","1.51","0.02","0.09","1.04"
"","south sudan","0.44","2.49","4.94","0.25","1.17","3.51","0.07","0.49","2.38"
"","togo","0.28","1.54","4.3","0.14","0.8","2.89","0.06","0.33","1.89"
"","uganda","0.27","1.71","4.44","0.24","1.02","3.41","0.07","0.27","1.71"
"","united republic of tanzania","0.28","1.59","3.99","0.19","0.75","2.57","0.06","0.25","1.61"
"","zambia","0.26","1.53","4.38","0.23","0.93","2.99","0.06","0.26","1.73"
"","zimbabwe","0.17","0.91","4.39","0.08","0.47","2.17","0.04","0.2","1.6"
