"region","area","1950_25","1950_70","1950_99","1975_25","1975_70","1975_99","1999_25","1999_70","1999_99"
"","micronesia (fed states of)","0.02","0.02","0.16","0.01","0.01","0.11","0.01","0.01","0.07"
"","new caledonia","0.01","0.01","0.08","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","papua new guinea","0.04","0.03","0.12","0.02","0.02","0.1","0.01","0.01","0.08"
"","samoa","0.02","0.02","0.14","0.01","0.01","0.09","<0.01","0.01","0.06"
"","solomon islands","0.02","0.02","0.12","0.01","0.01","0.09","<0.01","0.01","0.07"
"","tonga","0.01","0.02","0.12","<0.01","0.01","0.09","<0.01","0.01","0.06"
"","vanuatu","0.03","0.02","0.13","0.01","0.01","0.11","<0.01","0.01","0.08"
"sub-saharan africa","","0.07 (0)","0.03 (0)","0.1 (0)","0.04 (0)","0.02 (0)","0.1 (0)","0.01 (0)","0.01 (0)","0.08 (0)"
"","angola","0.1","0.03","0.11","0.07","0.03","0.12","0.02","0.02","0.11"
"","benin","0.09","0.03","0.11","0.05","0.02","0.11","0.02","0.02","0.09"
"","botswana","0.03","0.02","0.1","0.02","0.01","0.07","0.01","0.01","0.05"
"","burkina faso","0.09","0.03","0.11","0.06","0.02","0.11","0.02","0.01","0.1"
"","burundi","0.08","0.03","0.11","0.05","0.02","0.11","0.01","0.02","0.09"
"","cabo verde","0.03","0.02","0.11","0.01","0.01","0.06","<0.01","<0.01","0.04"
"","cameroon","0.06","0.03","0.11","0.04","0.03","0.11","0.02","0.02","0.09"
"","central african republic","0.06","0.04","0.08","0.05","0.03","0.09","0.02","0.02","0.08"
"","chad","0.09","0.04","0.09","0.07","0.04","0.12","0.03","0.02","0.1"
"","comoros","0.07","0.03","0.13","0.03","0.02","0.11","0.01","0.01","0.08"
"","congo","0.04","0.03","0.11","0.03","0.02","0.1","0.01","0.02","0.09"
"","côte d'ivoire","0.07","0.05","0.12","0.04","0.03","0.11","0.02","0.02","0.09"
"","democratic republic of the congo","0.08","0.03","0.1","0.06","0.02","0.12","0.03","0.02","0.1"
"","djibouti","0.06","0.02","0.1","0.03","0.01","0.07","0.01","0.01","0.04"
"","equatorial guinea","0.08","0.03","0.09","0.04","0.03","0.1","0.02","0.02","0.09"
"","eritrea","0.07","0.02","0.09","0.02","0.02","0.09","0.01","0.01","0.06"
"","eswatini","0.05","0.04","0.08","0.03","0.03","0.07","0.01","0.02","0.06"
"","ethiopia","0.08","0.02","0.09","0.04","0.02","0.1","0.01","0.01","0.06"
"","gabon","0.04","0.02","0.1","0.02","0.02","0.1","0.01","0.01","0.07"
"","gambia","0.08","0.03","0.1","0.04","0.02","0.12","0.01","0.02","0.1"
"","ghana","0.06","0.03","0.12","0.03","0.02","0.1","0.01","0.01","0.08"
"","guinea","0.09","0.02","0.1","0.05","0.02","0.11","0.01","0.01","0.09"
"","guinea-bissau","0.1","0.04","0.1","0.05","0.03","0.1","0.01","0.02","0.08"
"","kenya","0.05","0.03","0.13","0.03","0.02","0.09","0.01","0.01","0.06"
"","lesotho","0.04","0.05","0.07","0.03","0.03","0.06","0.01","0.02","0.06"
"","liberia","0.09","0.02","0.1","0.04","0.02","0.1","0.01","0.01","0.08"
"","madagascar","0.08","0.02","0.11","0.03","0.02","0.09","0.01","0.01","0.07"
"","malawi","0.1","0.03","0.08","0.04","0.02","0.09","0.01","0.01","0.07"
"","mali","0.12","0.02","0.1","0.07","0.02","0.13","0.03","0.02","0.11"
"","mauritania","0.06","0.02","0.13","0.03","0.02","0.11","0.01","0.01","0.09"
"","mauritius","0.01","0.01","0.06","<0.01","0.01","0.04","<0.01","<0.01","0.02"
"","mayotte","0.02","0.02","0.11","<0.01","0.01","0.06","<0.01","<0.01","0.03"
"","mozambique","0.09","0.03","0.08","0.04","0.02","0.1","0.01","0.02","0.09"
"","namibia","0.04","0.03","0.1","0.02","0.02","0.08","0.01","0.01","0.07"
"","niger","0.13","0.02","0.1","0.08","0.02","0.13","0.02","0.02","0.13"
"","nigeria","0.08","0.03","0.1","0.06","0.03","0.11","0.02","0.02","0.1"
"","réunion","0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","rwanda","0.1","0.02","0.1","0.05","0.01","0.07","0.01","0.01","0.05"
"","sao tome and principe","0.04","0.02","0.13","0.02","0.02","0.1","0.01","0.01","0.07"
"","senegal","0.09","0.02","0.12","0.03","0.01","0.1","0.01","0.01","0.07"
"","seychelles","0.01","0.02","0.09","<0.01","0.01","0.05","<0.01","0.01","0.04"
"","sierra leone","0.1","0.03","0.08","0.07","0.03","0.09","0.02","0.02","0.08"
"","somalia","0.09","0.03","0.1","0.06","0.03","0.12","0.04","0.02","0.12"
"","south africa","0.03","0.03","0.08","0.01","0.02","0.06","<0.01","0.01","0.05"
"","south sudan","0.11","0.03","0.09","0.05","0.03","0.1","0.03","0.02","0.09"
"","togo","0.07","0.03","0.12","0.04","0.02","0.11","0.02","0.01","0.09"
"","uganda","0.07","0.03","0.11","0.05","0.03","0.12","0.01","0.01","0.08"
"","united republic of tanzania","0.07","0.02","0.1","0.03","0.02","0.1","0.01","0.01","0.09"
"","zambia","0.06","0.03","0.1","0.05","0.02","0.1","0.01","0.02","0.08"
"","zimbabwe","0.04","0.04","0.1","0.02","0.02","0.07","0.01","0.02","0.07"
